store_id,uptime_last_hour,uptime_last_day,uptime_last_week,downtime_last_hour,downtime_last_day,downtime_last_week
9.76854E+16,60,24,168,0,0,0
7.14155E+16,0,10,84,60,0,0
8.15598E+16,0,0,15.97,60,7.98,39.92
7.11271E+16,0,0,0,60,8.75,88.75
7.66728E+16,0,0,0,60,12,84
8.68952E+16,0,13.5,94.5,60,0,0
1.2314E+17,60,24,168,0,0,0
7.79802E+16,0,0,0,60,13,90
8.369E+16,0,13,91,60,0,0
8.86757E+16,0,0,0,60,12,84
8.54961E+16,60,10,85,0,0,0
1.10447E+17,0,0,0,60,24,168
9.20386E+16,0,0,0,60,24,168
1.14243E+17,60,14.5,101.5,0,0,0
1.15153E+17,0,5.75,39.25,60,0,0
8.94629E+16,60,12,98,0,0,0
9.25136E+16,0,0,0,60,24,168
7.6703E+16,60,24,120.12,0,0,0
1.22815E+17,0,0,0,60,12,84
9.71783E+16,60,27.5,87.5,0,0,0
1.14886E+17,60,24,168,0,0,0
7.16421E+16,0,0,35.98,60,14,56
5.63802E+16,60,13.5,94.5,0,0,0
1.18181E+17,60,12.5,82,0,0,0
1.12999E+17,60,9,63,0,0,0
1.15475E+17,60,24,168,0,0,0
1.29947E+17,0,0,43.49,60,13,43.51
1.17383E+17,0,0,37,60,12.25,49.25
1.33426E+17,0,0,0,60,24,168
8.26655E+16,60,16,108,0,0,0
8.45563E+16,0,0,36.75,60,12,51.25
1.22675E+17,60,15,105,0,0,0
1.17659E+17,60,8.25,90.42,0,0,0
1.18694E+17,60,24,168,0,0,0
6.5715E+16,0,0,0,60,24,168
1.19701E+17,0,12.25,85.75,60,0,0
1.11942E+17,60,24,168,0,0,0
1.08259E+17,60,16,108,0,0,0
1.34749E+17,0,8.5,59.5,60,0,0
1.23212E+17,60,17.98,125.88,0,0,0
8.79463E+16,0,0,130.68,60,23.98,37.21
8.6281E+16,0,0,31.97,60,11,45.03
1.19434E+17,60,11.98,49.21,0,0,34.67
1.29422E+17,0,0,0,60,11,90
1.17337E+17,0,0,0,60,9,78.5
1.14275E+17,60,7,49,0,0,0
1.19436E+17,60,23.98,167.88,0,0,0
1.31125E+17,0,0,0,60,12,84
1.25935E+17,60,8.5,58.5,0,0,0
1.26266E+17,0,0,0,60,9.25,71
1.25545E+17,0,10.5,75.5,60,0,0
1.34796E+17,60,23.92,167.42,0,0,0
1.34587E+17,0,0,0,60,7.98,81.68
1.28817E+17,0,0,0,60,11.75,85.25
1.32828E+17,60,13,91,0,0,0
1.33297E+17,0,0,0,60,12,84
1.45418E+17,0,0,22.5,60,5.5,28
1.37439E+17,0,0,0,60,24,168
1.19513E+17,60,11.73,82.13,0,0,0
1.35572E+17,0,0,0,60,24,168
1.45932E+17,60,23.98,167.88,0,0,0
1.4665E+17,0,10,71,60,0,0
1.24304E+17,0,0,0,60,24,168
1.37876E+17,60,15,105,0,0,0
1.46934E+17,60,24,168,0,0,0
1.32686E+17,60,11.75,84.25,0,0,0
1.47035E+17,0,0,27,60,9,36
1.52769E+17,60,12.98,89.93,0,0,0
1.52589E+17,0,0,0,60,24,168
1.4148E+17,0,0,0,60,24,81
1.39971E+17,0,8.5,54.5,60,0,0
1.40426E+17,0,0,31.92,60,11,45.05
1.48738E+17,60,12,85,0,0,0
1.52978E+17,0,0,13,60,6.5,36
1.48103E+17,0,14.9,94.12,60,9.08,73.77
1.49185E+17,60,24,168,0,0,0
1.14552E+17,0,5.78,46.5,60,0,27.5
1.35452E+17,60,24,168,0,0,0
1.35983E+17,0,0,0,60,24,168
1.37747E+17,60,11,77,0,0,0
1.41282E+17,60,23.98,167.88,0,0,0
1.28235E+17,0,6,53,60,0,0
1.30269E+17,60,24,118.5,0,0,0
1.74543E+17,0,0,0,60,24,168
1.40081E+17,60,24,168,0,0,0
1.2624E+17,60,10.89,101.42,0,13.11,66.58
1.44733E+17,0,12.5,87.5,60,0,0
1.48795E+17,0,0,0,60,12.98,90.88
1.44582E+17,60,10.25,126.75,0,0,0
1.56729E+17,0,5,54,60,0,0
1.51842E+17,0,0,0,60,24,168
1.64414E+17,60,24,168,0,0,0
1.38609E+17,0,5.78,83,60,0,0
